conversation_id,turn_id,speaker_role,speaker_id,start_time,end_time,duration,text,outcome
1,13,participant_2,1,90.6,91.6,1,Accept-Deal,deal
2,1,participant_2,1,0,1,1,Hey there!,deal
2,2,participant_1,0,1,8.2,7.2,Hi! How are you?! You excited for your camping trip??! I sure am ready to go on mine!,deal
2,3,participant_2,1,8.2,19.4,11.2,"I am very excited, I'm actually going camping in a week. I drink a lot of water so it's important that I bring a lot. What about you?",deal
2,4,participant_1,0,19.4,45,25.6,"I really am! I have been watching the weather and updates about the area I will be traveling to. They are experiencing a severe drought, so I will be in need of some extra water as well! I planned on staying an extra couple days as well. There is a stream nearby I believe, but I'm not sure how much it has dried up.",deal
2,5,participant_2,1,45,56.6,11.6,"That's good to hear, you always have to be careful with wild water though, it has all kind of germs. Sounds like you'll have plenty of dry firewood though.",deal
2,6,participant_1,0,56.6,66.6,10,"Yes, I would be willing to let you have all the firewood for 2 of the cases of water. How much food were you needing?",deal
2,7,participant_2,1,66.6,75,8.4,I like your water and firewood arrangement. Can I have 2 of the food since you're getting 2 of the water?,deal
2,8,participant_1,0,75,88.6,13.6,Let me think on that. I know there won't be much for berries or small animals to hunt for. Is where you are going have much available for you to hunt and scavenge for?,deal
2,9,participant_2,1,88.6,111.4,22.8,It might but with the summer season hunting isn't exactly legal at the moment. I tend to camp in remote areas so going to the store for more food isn't really an option. I've already let you have extra water so I don't think it's too far of a stretch to let me have some extra food.,deal
2,10,participant_1,0,111.4,119.4,8,"Okay, I can let you have 2 of the food then. I do appreciate your generosity on the extra water.",deal
2,11,participant_2,1,119.4,120.4,1,Submit-Deal,deal
2,12,participant_1,0,120.4,121.4,1,Accept-Deal,deal
3,1,participant_2,1,0,6.4,6.4,"Hi, I'd like 3 packages of food. I have diabetes and my blood sugar could drop.",deal
3,2,participant_1,0,6.4,22,15.6,"oh dear, I am sorry to hear that my son is type one, I am okay with giving you all the food if you could give me all the firewood. I have hypothyroidism and it makes me get cold.",deal
3,3,participant_2,1,22,23.2,1.2,That's a deal.,deal
3,4,participant_1,0,23.2,28,4.8,"now how to split the water, wish it wasn't an odd number",deal
3,5,participant_2,1,28,34,6,I'll take 1 and you can have 2 since you gave me all the food.,deal
3,6,participant_1,0,34,42.8,8.8,"Oh that is nice of you! I appreciate that very much! We do enjoy a good hike, so water will be good!",deal
3,7,participant_2,1,42.8,44.8,2,Sounds like we are set.,deal
3,8,participant_1,0,44.8,50,5.2,"yeah, I hope you have a nice time camping! weather should be nice!",deal
3,9,participant_2,1,50,56,6,I hope it will be because I don't love camping! Hope you have fun too!,deal
3,10,participant_1,0,56,58,2,Have a nice day 🙂,deal
3,11,participant_2,1,58,59,1,Submit-Deal,deal
3,12,participant_1,0,59,60,1,Accept-Deal,deal
4,1,participant_2,1,0,2.8,2.8,What are you most interested in getting?,deal
4,2,participant_1,0,2.8,6.8,4,"I think food is my highest priority, What about you?",deal
4,3,participant_2,1,6.8,12.4,5.6,"Food is also my highest priority, but firewood is also pretty close for me.",deal
4,4,participant_1,0,12.4,16.8,4.4,Would you be willing to take more firewood for less food?,deal
4,5,participant_2,1,16.8,19.2,2.4,Yes I think that sounds fair.,deal
4,6,participant_1,0,19.2,28,8.8,"So if I take 2 foods and 1 firewood, you take 1 food and 2 firewood. What would be fair for water?",deal
4,7,participant_2,1,28,32.8,4.8,What if I take two waters and you take one water then?,deal
4,8,participant_1,0,32.8,38.4,5.6,"I think that sounds fair, since you compromised on food. Sounds like a deal!",deal
4,9,participant_2,1,38.4,42,3.6,I'm glad we could come to a compromise 🙂,deal
4,10,participant_1,0,42,46,4,Me too 🙂 Thanks for making it easy and pleasant.,deal
4,11,participant_2,1,46,47,1,Submit-Deal,deal
4,12,participant_1,0,47,48,1,Accept-Deal,deal
5,1,participant_1,0,0,12,12,"Hello, what are your preferences for extra supplies? I am greatly in need of food and water. We will be doing a lot of activity in a hot, dry climate.🙂",deal
5,2,participant_2,1,12,17.6,5.6,I prefer firewood because I will get cold at night. I forgot blankets ☹️,deal
5,3,participant_1,0,17.6,27.2,9.6,"Would it work for you, then, to give me the three food and three water, and I can give you all of the firewood?",deal
5,4,participant_2,1,27.2,39.6,12.4,No. Because I brought a water purifier but don't plan on hunting or fishing. So I'd be willing to give up all the water but I want 2 of the food.,deal
5,5,participant_1,0,39.6,55.6,16,"I see. I also greatly need the extra food, as I indicated. Perhaps there are some convenience or grocery stores near your campground--you might then purchase extra food there and not have to carry it with you on your trip?",deal
5,6,participant_2,1,55.6,70.4,14.8,"I believe there won't be any convenience stores around to buy food, And I plan on staying out longer than you so I will need more food to last me, Do you need food or water more?",deal
5,7,participant_1,0,70.4,100,29.6,"How do you know you are staying longer than me? I haven't even said how long I am staying! I am also with a big group. ☹️☹️ I need food the most, and I would like to take at least 2 extra waters. I could possibly give up one of the food packages if you could part with 2 firewood. Without extra food, I would have to do some fishing and cook the fish.",deal
5,8,participant_2,1,100,112.8,12.8,"No. I won't part with any firewood because I can't stand being cold, and you can have 2 foods if you have a larger group if you give me 1 water. 🙂🙂",deal
5,9,participant_1,0,112.8,134,21.2,"Sorry, that's not going to work for me. ☹️ You have a water purifier? Doesn't sound like extra water is necessary. I am in a hot, dry climate. I can give up all the firewood to you, if you can leave me the three packages of food. I would also like 2 waters.",deal
5,10,participant_2,1,134,150,16,Sorry but I'm willing to give up all the water for 1 food at least. I already mentioned above that I don't plan on hunting or fishing and I plan on being out for a while. That's my final offer.,deal
5,11,participant_1,0,150,160.8,10.8,"Okay, I will leave you all the firewood and 1 food, and I will take two food and three water packages. I am willing to finalize that.☹️",deal
5,12,participant_2,1,160.8,161.8,1,Submit-Deal,deal
5,13,participant_1,0,161.8,162.8,1,Accept-Deal,deal
6,1,participant_2,1,0,3.2,3.2,"Hi, are you excited for the camping trip?",deal
6,2,participant_1,0,3.2,6.4,3.2,Hello! I am very excited!🙂 How about you?,deal
6,3,participant_2,1,6.4,14.4,8,Yes! Would you mind sharing your highest priority item with me? My most valued item right now is Food actually,deal
6,4,participant_1,0,14.4,16.8,2.4,I am willing to share everything.,deal
6,5,participant_2,1,16.8,26,9.2,"Awesome. I would prefer getting 3 of my highest priority item though, and maybe you could get 3 of your highest priority item?",deal
6,6,participant_1,0,26,34.8,8.8,I wood really like the firewood as I am afraid of the dark and would like my fire to last all night.,deal
6,7,participant_2,1,34.8,51.6,16.8,Oh that makes total sense. I need the food so badly since I am bringing my family with me and they are one hungry bunch aha. Would you be amenable to me having 3 food packets and you having 3 firewood packets?,deal
6,8,participant_1,0,51.6,56.8,5.2,That would work great. How about water? What is your preference for that?,deal
6,9,participant_2,1,56.8,70.8,14,"Aha well I guess clearly my preference would be getting 2 water packages and you getting 1? I know we can't split exactly evenly, but this way we each get our top priorities at least",deal
6,10,participant_1,0,70.8,79.6,8.8,I would be good with that. We both would get what we really want. And I am okay with getting less water.,deal
6,11,participant_2,1,79.6,80.6,1,Submit-Deal,deal
6,12,participant_1,0,80.6,81.6,1,Accept-Deal,deal
7,1,participant_2,1,0,1,1,Hello!,deal
7,2,participant_1,0,1,3.4,2.4,"Hello, how are you doing today?",deal
7,3,participant_2,1,3.4,6.2,2.8,i am doing great! how about you?,deal
7,4,participant_1,0,6.2,10.2,4,"I'm doing pretty well, just preparing for this camping trip.",deal
7,5,participant_2,1,10.2,17.4,7.2,"ME as well! we are a group of big eaters, and are looking to take lots of food.",deal
7,6,participant_1,0,17.4,25.8,8.4,That is fair as there is no showers or sinks at my campsite so I am looking to take water :),deal
7,7,participant_2,1,25.8,32.2,6.4,We will likely also need to take water too. Need to be able to wash up.,deal
7,8,participant_1,0,32.2,41.4,9.2,"That is fair, I also will need a good bit of firewood to keep warm as the campsite is in a colder area.",deal
7,9,participant_2,1,41.4,46.2,4.8,We dont care much for campfires. Leaves your cloths smelling for days!,deal
7,10,participant_1,0,46.2,53.4,7.2,Alright so I think we can make a fair deal here where we both will be happy 🙂,deal
7,11,participant_2,1,53.4,54.4,1,Submit-Deal,deal
7,12,participant_1,0,54.4,55.4,1,Reject-Deal,deal
7,13,participant_1,0,55.4,56.4,1,Submit-Deal,deal
7,14,participant_2,1,56.4,57.4,1,Accept-Deal,deal
8,1,participant_2,1,0,6.4,6.4,How are you today? Did you have any preferences on the supplies we will be trading?,deal
8,2,participant_1,0,6.4,16.8,10.4,I am good. How about yourself? I think I would like some firewood to start off with. We like to have bigger fires. What about you?,deal
8,3,participant_2,1,16.8,30,13.2,I am good as well. That is good to hear that you like to have bigger fires as we do not care much for that. We would much rather have some extra water.,deal
8,4,participant_1,0,30,40.8,10.8,"Water is a little important to us too though , if possible maybe we can split that or maybe we can get some more food in replacement.",deal
8,5,participant_2,1,40.8,46.8,6,That may be possible.... 🙂 What did you have in mind for the food replacement?,deal
8,6,participant_1,0,46.8,52,5.2,You can have all the water if we can have all the food?,deal
8,7,participant_2,1,52,62,10,I dont think I am okay with that ☹️. Food is essential to our groups morale when camping. We would like 1 additional food preferably.,deal
8,8,participant_1,0,62,74.8,12.8,Well you guys did say you did not care much about large fires. What if you gave all the firewood in replace for the water and you can still keep 1 food?,deal
8,9,participant_2,1,74.8,81.6,6.8,So I would get 3 water and 1 food and youd get 3 firewood and 2 food?,deal
8,10,participant_1,0,81.6,85.6,4,Yea that seems like an alright trade to me 🙂,deal
8,11,participant_2,1,85.6,87.2,1.6,Hmm... alright then 🙂.,deal
8,12,participant_1,0,87.2,88.2,1,Submit-Deal,deal
8,13,participant_2,1,88.2,89.2,1,Accept-Deal,deal
9,1,participant_2,1,0,2.4,2.4,"Hello, how are you today? 🙂",deal
9,2,participant_1,0,2.4,4.4,2,"good, how are you 🙂",deal
9,3,participant_2,1,4.4,9.6,5.2,"Great! I'm on a camping trip with my five children, how about you?",deal
9,4,participant_1,0,9.6,18,8.4,I'm also going camping with my two children and 2 of my nephews How would you like to divide the supplies?,deal
9,5,participant_2,1,18,21.2,3.2,Well what do you need the most of?,deal
9,6,participant_1,0,21.2,33.2,12,"I need the most firewood due to a congenital issue that results in us having poor blood circulation to our extremities, thus making them susceptible to frostbite in the cold!",deal
9,7,participant_2,1,33.2,48.4,15.2,"Oh dear, that sounds serious! Well I need food the most because my children eat sooo much and I don't think I packed enough. How about I'll give you all my firewood in exchange for all your food?",deal
9,8,participant_1,0,48.4,56,7.6,"Would you be down for an arrangement where I get 2 wood, I get 1 food, and 1 water?",deal
9,9,participant_2,1,56,60.4,4.4,Sure that sounds good! I hope you have a nice trip!,deal
9,10,participant_1,0,60.4,61.4,1,you too!,deal
9,11,participant_2,1,61.4,62.4,1,Submit-Deal,deal
9,12,participant_1,0,62.4,63.4,1,Accept-Deal,deal
10,1,participant_2,1,0,1,1,hello!,deal
10,2,participant_1,0,1,2,1,Hello.,deal
10,3,participant_2,1,2,4.8,2.8,Can i kindly know your preferences please?,deal
10,4,participant_1,0,4.8,20,15.2,"Well, I'm kind of low on water, so I'd like to get as much of that as I can. I'd like to go hiking and I don't really have enough water for a long trip. What about you?",deal
10,5,participant_2,1,20,28,8,Ohh nice.I also have the same issue around here.The thirst for water is growing high than ever due to drought,deal
10,6,participant_1,0,28,44.8,16.8,"Well, that's a bummer. How are you set for food? While I wouldn't mind a bit more, I'm in pretty good shape there, so I'd be willing to trade it for water. I'd hate to leave without getting a good hike in.",deal
10,7,participant_2,1,44.8,65.6,20.8,"Hun,It's a bit of a fair deal,but due to the condition here i will need a bit more of water though foo cannot be overlooked also for survival but still to survive we take chances.So do you mind me giving you a package of food and u trading 2 pakages of water?.",deal
10,8,participant_1,0,65.6,78.8,13.2,"Well, I tell you what, I'd be willing to take 2 packages of water and 2 of firewood and leave the rest to you, including all of the food. How does that sound?🙂",deal
10,9,participant_2,1,78.8,80.4,1.6,ok nice good deal,deal
10,10,participant_1,0,80.4,88.4,8,"Well, alright, then, I think we have a deal, nice and easy. It was a pleasure doing business with you.",deal
10,11,participant_2,1,88.4,89.4,1,Submit-Deal,deal
10,12,participant_1,0,89.4,90.4,1,Accept-Deal,deal
11,1,participant_1,0,0,4,4,hi how are you are you ready for your trip,deal
11,2,participant_2,1,4,10,6,"I'm ready, I just would like to have a little extra stuff. How about you?",deal
11,3,participant_1,0,10,19.2,9.2,yes I could use some extra food since i am hiking with my kids and they all have a friend that comes along...lol,deal
11,4,participant_2,1,19.2,26.4,7.2,I know how that goes...We are planning on hiking too and we could also use some extra food.,deal
11,5,participant_1,0,26.4,31.6,5.2,well I am sure between you and me we will find a way....,deal
11,6,participant_2,1,31.6,43.6,12,"I really need some food, but I could also use extra firewood. It is supposed to be pretty cold at night and we would love to cook up some smores.",deal
11,7,participant_1,0,43.6,52.4,8.8,I hear you we have the same issues well you can have either 2 food or 2 firewood what would you prefer?,deal
11,8,participant_2,1,52.4,58.8,6.4,"I would prefer 2 food. I could give you 1 food, 2 firewood and 2 water?",deal
11,9,participant_1,0,58.8,62,3.2,"that sounds like a good deal to me,",deal
11,10,participant_2,1,62,64.4,2.4,"Okay, that is great. Have fun!",deal
11,11,participant_1,0,64.4,65.4,1,Submit-Deal,deal
11,12,participant_2,1,65.4,66.4,1,Accept-Deal,deal
12,1,participant_1,0,0,4,4,Hi. I'm most interested in water. What's your highest priority?,deal
12,2,participant_2,1,4,10.8,6.8,I really need water too. I have a young baby and will do a lot of washing.,deal
12,3,participant_1,0,10.8,15.2,4.4,Okay. I'm not especially worried about food. What's your lowest priority?,deal
12,4,participant_2,1,15.2,21.2,6,"I have enough food too. Can I take 2 water, 1 firewood and 2 food?",deal
12,5,participant_1,0,21.2,27.6,6.4,"How about two water, 1 firewood and 1 food, since we both value water the most?",deal
12,6,participant_2,1,27.6,31.6,4,Is that what you want or what you are offering?,deal
12,7,participant_1,0,31.6,39.2,7.6,"That's what I'm offering to you, but I think it's a fair deal, so I'd accept it myself, too.",deal
12,8,participant_2,1,39.2,40.2,1,Fair enough.,deal
12,9,participant_1,0,40.2,44.6,4.4,"If that sounds good, just tell me which bundle you want.",deal
12,10,participant_2,1,44.6,49.8,5.2,"As you suggested, I will take 2 water 1 food and 1 firewood",deal
12,11,participant_1,0,49.8,50.8,1,Awesome,deal
12,12,participant_2,1,50.8,51.8,1,Submit-Deal,deal
12,13,participant_1,0,51.8,52.8,1,Accept-Deal,deal
13,1,participant_2,1,0,3.2,3.2,Hello there...! Are you excited for the camp,deal
13,2,participant_1,0,3.2,5.6,2.4,"Hey, I am really excited! 🙂",deal
13,3,participant_2,1,5.6,6.6,1,Wow.. Cool,deal
13,4,participant_1,0,6.6,9,2.4,Are you prepared for the camp?,deal
13,5,participant_2,1,9,13,4,Yes A little.. But I would need extra camping items,deal
13,6,participant_1,0,13,16.6,3.6,"Ok, I do too. What do you really need?",deal
13,7,participant_2,1,16.6,23.4,6.8,"Thanks for asking ..! I will need 3 of food, 3 of water and 2 of firewood..",deal
13,8,participant_1,0,23.4,28.2,4.8,I really need water though. Are you sure you need that much?,deal
13,9,participant_2,1,28.2,33.4,5.2,Yes please ..! My son has respiratory problems I'll definitely need that 😡😡😡,deal
13,10,participant_1,0,33.4,39.4,6,"If you really need water, then can I have 2 firewood and 3 food then?",deal
13,11,participant_2,1,39.4,47.8,8.4,No I really need food also ...at least I will take 3 food and 2 water and you can take remaining,deal
13,12,participant_1,0,47.8,53.8,6,"I'll let you take 3 food and 1 water, and I will take the rest.",deal
13,13,participant_2,1,53.8,59.8,6,That sounds not bad...! Though I need at least 1 more water additional to that,deal
13,14,participant_1,0,59.8,66.6,6.8,"Okay, I will give you 3 food, 2 water, and I will take 1 water, 3 firewood",deal
13,15,participant_2,1,66.6,69.8,3.2,That makes a deal... Thank YOU...!!!! Happy camping!,deal
13,16,participant_1,0,69.8,70.8,1,Submit-Deal,deal
13,17,participant_2,1,70.8,71.8,1,Accept-Deal,deal
14,1,participant_1,0,0,1,1,n,deal
14,2,participant_2,1,1,5.4,4.4,Hello there I was just thinking of the upcoming camping trip.,deal
14,3,participant_1,0,5.4,14.6,9.2,"I'm sorry about that, accidentally hit that send button lol! I was thinking about it as well. I'm pretty excited. How about you?",deal
14,4,participant_2,1,14.6,20.2,5.6,I was just thinking about the logistics and how to prioritize the various items.,deal
14,5,participant_1,0,20.2,36.2,16,Same here. I'll go ahead and list some of what I need and you let me know if you will need the same as well. I need some extra water for our camping trip as well as some additional food.,deal
14,6,participant_2,1,36.2,51,14.8,That sounds reasonable. I don't particularly need the food because I see that as more of a luxury but I could really use some more water. It's supposed to get really really hot on the weekend. 😮,deal
14,7,participant_1,0,51,59.8,8.8,I hear that. What do you think of if I take 3 of the food supplies and you can have two waters?,deal
14,8,participant_2,1,59.8,80.6,20.8,"That sounds like a fair compromise. I can get food by hunting animals, old school style. That would give you 4 total items. In that case it's only fair if I take all 3 of the firewood. 4 for me and 4 for you sounds like a good deal to me. 🙂",deal
14,9,participant_1,0,80.6,94.2,13.6,That sounds fair to me! I don't know the first thing about hunting so that would be a relief on me. We took a bunch of blankets so we'll be good on firewood. 🙂,deal
14,10,participant_2,1,94.2,105.4,11.2,Yep and I need all 3 firewood because I'm hunting. Meat absolutely needs to be cooked. The same cannot be said about pepperoni pizza and chips for example.,deal
14,11,participant_1,0,105.4,106.4,1,Submit-Deal,deal
14,12,participant_2,1,106.4,107.4,1,Accept-Deal,deal
15,1,participant_2,1,0,8.8,8.8,"Hi. I am looking at possibly taking 3 of the food packages, 2 of the water packages and one of the firewood.",deal
15,2,participant_1,0,8.8,12.4,3.6,Hi. Why do you need so many food packages?,deal
15,3,participant_2,1,12.4,28.8,16.4,"Well, I have two teenage boys who will be with me. In normal circumstances they go through a lot of food. While camping, hiking and kayaking I know we will need plenty to keep their energy level high to do everything.🙂",deal
15,4,participant_1,0,28.8,34.8,6,Well I will definitely need 2 packages of food and 2 of firewood for survival.,deal
15,5,participant_2,1,34.8,42.4,7.6,I am definitely ok with giving you two of the firewood!! Why do you need 2 packages of food?,deal
15,6,participant_1,0,42.4,49.2,6.8,I have a very fast metabolism and a dog to take care of. Thanks for the firewood.,deal
15,7,participant_2,1,49.2,61.2,12,"Awe! We have a dog as well, I love dogs!! How about if you get 1 package of food, 1 water and 2 firewood? Would that be sufficient for you?",deal
15,8,participant_1,0,61.2,68.4,7.2,I know I will need at least 2 packages of food. But you can have 2 of water.,deal
15,9,participant_2,1,68.4,89.2,20.8,"I'm so sorry, we're getting very close to the end and will need to make a decision very soon! We can go without any firewood so How about you get all 2 firewood, 2 water and 1 food. I will really need at least 2 packages of food for all of us.",deal
15,10,participant_1,0,89.2,90.8,1.6,That works for me,deal
15,11,participant_2,1,90.8,91.8,1,Submit-Deal,deal
15,12,participant_1,0,91.8,92.8,1,Accept-Deal,deal
16,1,participant_1,0,0,12.4,12.4,"Hi, this is my first time camping and I want to make sure I have enough stuff. I would like three food, three firewood, and two water. What do you think?",deal
16,2,participant_2,1,12.4,27.2,14.8,"I have been camping a few times and pretty much know what I need to be comfortable and healthy. Warmth and hydration are important for me. So, I am thinking 2 firewood, 2 water and 0 food.",deal
16,3,participant_1,0,27.2,33.2,6,"Since I have never been camping before, why do you think you need 2 firewood?",deal
16,4,participant_2,1,33.2,42,8.8,"Unfortunately, I have arthritis so being sure to keep warm and the dampness away in the evening, heat is important for me.",deal
16,5,participant_1,0,42,50.8,8.8,Ok. I am worried about animals and bugs so I would prefer 2 firewood. But I am happy with the 3 food🙂,deal
16,6,participant_2,1,50.8,71.2,20.4,"Ok, how about we shift a bit as I hear you on the bugs and animals. I think I can get by with one firewood and use extra covers and meds. But, will need plenty of water and some food. How about I take 1 firewood, 2 water and 2 food.",deal
16,7,participant_1,0,71.2,87.6,16.4,"Ok, although I was thinking that I could probably find some firewood, but would prefer more water so I don't get dehydrated and can use it to wash and cook. How about I take 1 firewood, 2 water, and 1 food",deal
16,8,participant_2,1,87.6,101.2,13.6,"Good thought on finding your own firewood. I appreciate the offer of 2 firewood. I can cut back on water for washing/cooking. So how about I take 2 firewood, 1 water and 2 food",deal
16,9,participant_1,0,101.2,102.8,1.6,ok that sounds fine🙂,deal
16,10,participant_2,1,102.8,108,5.2,"Great, thanks for understanding and working with me....and enjoy your first time camping🙂",deal
16,11,participant_1,0,108,109,1,no problem🙂,deal
16,12,participant_2,1,109,110,1,Submit-Deal,deal
16,13,participant_1,0,110,111,1,Accept-Deal,deal
17,1,participant_1,0,0,2,2,"Hello, how are you today?",deal
17,2,participant_2,1,2,7.6,5.6,"hello, I am good, I am very excited about this trip. how are you?",deal
17,3,participant_1,0,7.6,14.4,6.8,"i am great, super excited about camping as well, are there any supplies that you really need?",deal
17,4,participant_2,1,14.4,19.6,5.2,i really need water and food. we did not get enough of those.,deal
17,5,participant_1,0,19.6,31.2,11.6,"Those are my priorities as well, how about you get all the food and two firewoods, and i get all the water and one firewood, does that sound fair?",deal
17,6,participant_2,1,31.2,38.4,7.2,"i would prefer water instead of food if possible, but i am sure we can work it out.",deal
17,7,participant_1,0,38.4,47.6,9.2,"water is really important for me, how about i get two waters and three firewoods and you get three foods and one water?",deal
17,8,participant_2,1,47.6,52,4.4,i can work with 1 water 3 food and 1 firewood,deal
17,9,participant_1,0,52,54,2,ok that works for me,deal
17,10,participant_2,1,54,58,4,"good, we used all the water to fix overheated car.",deal
17,11,participant_1,0,58,59,1,Submit-Deal,deal
17,12,participant_2,1,59,60,1,Accept-Deal,deal
18,1,participant_1,0,0,4,4,"Hello, what are your preferences for food, water, and firewood?",deal
18,2,participant_2,1,4,11.2,7.2,"Hey, nice getting to interact with you. I would like to have additional packages of firewood and water",deal
18,3,participant_1,0,11.2,16,4.8,"Okay, I would like to have additional packages of food and water.",deal
18,4,participant_2,1,16,23.6,7.6,I would take 2 packages of firewood and 1 each of water and food. Let me know your thoughts.,deal
18,5,participant_1,0,23.6,28.8,5.2,I actually need 2 packages of firewood for making more fires when camping.,deal
18,6,participant_2,1,28.8,33.6,4.8,I can't take cold and would badly need to have more firewood.,deal
18,7,participant_1,0,33.6,37.2,3.6,I need more firewood to keep my food going.,deal
18,8,participant_2,1,37.2,42,4.8,"I get it, in that case I'' take additional packages of food.",deal
18,9,participant_1,0,42,48.8,6.8,"I don't think so, because I need additional packages of food in case there is an emergency.",deal
18,10,participant_2,1,48.8,62,13.2,I was under the impression you don't have the need for additional firewood as you mentioned you need additional of food and water. Let me know how many packages of item you need.,deal
18,11,participant_1,0,62,67.2,5.2,"You're right, I meant to say that I need additional food and water.",deal
18,12,participant_2,1,67.2,72.4,5.2,"So, let me know how much exactly do you want of each item",deal
18,13,participant_1,0,72.4,77.2,4.8,I would like 2 packages of food and 2 packages of water.,deal
18,14,participant_2,1,77.2,88.8,11.6,"In that case, I can take 2 packages of firewood. So , it would be a fair deal. I can share with you in case you have the need.",deal
18,15,participant_1,0,88.8,92.8,4,"Okay, that is a fair deal then. It is settled.",deal
18,16,participant_2,1,92.8,95.6,2.8,Thank you. Have a nice day ahead!,deal
18,17,participant_1,0,95.6,98.8,3.2,Thank you. Have a nice day ahead too!,deal
18,18,participant_2,1,98.8,99.8,1,Submit-Deal,deal
18,19,participant_1,0,99.8,100.8,1,Accept-Deal,deal
19,1,participant_2,1,0,1,1,Hello there,no_deal
19,2,participant_1,0,1,2.6,1.6,Hello. How are you?,no_deal
19,3,participant_2,1,2.6,8.6,6,Great and yourself? Ready for this camping trip and take a break from modern civilization?,no_deal
19,4,participant_1,0,8.6,12.6,4,I'm doing well. Yes. This camping trip is badly needed!,no_deal
19,5,participant_2,1,12.6,28.6,16,Indeed we have planned to do a lot of hiking and seeing the nature that is giving to us by god it will be a great wonderful time to serve with others and deepen our faith in the lord savior,no_deal
19,6,participant_1,0,28.6,42.2,13.6,Awesome. I couldn't agree more. I feel that camping and hiking are both such spiritual experiences. It's such a perfect time to connect with our lord and savior. I love serving others as well.🙂,no_deal
19,7,participant_2,1,42.2,85.8,43.6,":) Yes and you know what we are experiencing some difficulty as some people who said initially they were not going to be able to come and at the last minute are saying that they are coming so we are short on the most important items which are food and was wondering if we could speak about sharing items but due to the people who joined late if I can get food and water you can have more wood as none of us know how to really go into the wild and we do not want to turn away our last minute guests, it would be of tremendous help",no_deal
19,8,participant_1,0,85.8,107.8,22,I'm more than willing to help you to the best of my ability. I understand and appreciate the difficult situation you find yourself in. How many packages of food and water do you think you will need for your additional guests? How much wood do you need since you are saying you don't need much?,no_deal
19,9,participant_2,1,107.8,143.8,36,"Thanks for your understanding well I think if possible then to meet the situation then how bout 3 food and 2 water then you get all the wood ? That way you can have awesome campfires lasting through the night, we will be going to sleep extra early to wake up very early so we do not need all that wood, as much as we need food to replenish our energy and be ready for another day of long walks to see as much as we can from nature 🙂",no_deal
